iso3,quarter,actual,stgnn_pred,split
CAN,2024Q1,2.741166591644287,2.707453489303589,test
CHE,2024Q1,1.361969232559204,1.020764708518982,test
CHN,2024Q1,0.22685334086418152,-0.20158983767032623,test
DEU,2024Q1,2.2863478660583496,2.362272262573242,test
FRA,2024Q1,2.209364891052246,2.64707612991333,test
GBR,2024Q1,2.8697001934051514,3.7738869190216064,test
IDN,2024Q1,2.643190860748291,2.4320178031921387,test
IND,2024Q1,3.799630641937256,4.4126362800598145,test
ITA,2024Q1,0.8084750771522522,0.777643620967865,test
MEX,2024Q1,4.7719950675964355,4.428905487060547,test
SGP,2024Q1,4.833723545074463,4.694450378417969,test
TUR,2024Q1,72.27336883544922,66.6944808959961,test
USA,2024Q1,3.191520929336548,3.078937530517578,test
VNM,2024Q1,3.2528927326202393,3.1098484992980957,test
ZAF,2024Q1,5.0440850257873535,5.278726100921631,test
AUS,2024Q2,2.8085429668426514,4.013347148895264,test
BRA,2024Q2,4.3869242668151855,4.138119697570801,test
CAN,2024Q2,2.0408310890197754,2.9400227069854736,test
CHE,2024Q2,1.0645543336868286,1.5590541362762451,test
CHN,2024Q2,0.4846261441707611,0.4218648672103882,test
DEU,2024Q2,1.9296443462371826,2.483156442642212,test
FRA,2024Q2,1.7415318489074707,2.407266139984131,test
GBR,2024Q2,2.908622980117798,3.06744122505188,test
IDN,2024Q2,1.9405814409255981,2.8413217067718506,test
IND,2024Q2,2.9298810958862305,3.9959356784820557,test
ITA,2024Q2,1.0274924039840698,1.0055683851242065,test
MEX,2024Q2,5.02243185043335,4.970781326293945,test
SGP,2024Q2,4.833723545074463,5.034370422363281,test
TUR,2024Q2,54.09210205078125,72.4700927734375,test
USA,2024Q2,2.657611846923828,3.3866615295410156,test
VNM,2024Q2,3.2528927326202393,3.447780132293701,test
ZAF,2024Q2,4.243483543395996,5.244731903076172,test
AUS,2024Q3,2.4247045516967773,3.191575527191162,test
BRA,2024Q3,4.820828437805176,4.776032447814941,test
CAN,2024Q3,1.9129736423492432,2.4510388374328613,test
CHE,2024Q3,0.6600155830383301,1.4992330074310303,test
